card_no,days,day_cost,per_eve,per_morn,per_noon,sum_cost,count,class
181168,21,23.49,12.42,4.24,6.83,493.3,129,0
181172,29,16.95,6.62,2.93,7.4,491.5,152,0
181175,19,10.37,6.93,0.0,3.44,197.0,39,1
181176,28,12.95,5.75,1.45,5.74,362.5,130,2
181178,12,7.71,2.75,1.04,3.92,92.5,20,1
180619,24,6.75,1.48,3.08,2.19,162.1,55,1
180622,29,14.69,7.82,0.09,6.78,425.88,181,0
182183,20,9.83,0.11,2.68,7.04,196.7,55,1
182185,22,8.88,0.7,2.24,5.94,195.3,53,1
182186,22,10.51,4.65,0.67,5.19,231.3,88,2
182188,27,8.19,2.18,2.19,3.82,221.2,108,2
182189,27,9.71,1.78,1.57,6.35,262.1,73,2
180181,17,16.25,7.47,4.84,3.94,276.2,57,2
180182,21,11.82,1.6,2.49,7.73,248.2,81,2
180183,21,12.46,4.24,2.34,5.88,261.6,57,2
182191,22,13.3,5.82,0.95,6.53,292.61,69,2
182194,20,11.94,2.76,2.09,7.08,238.8,69,2
182195,23,16.59,6.79,4.07,5.73,381.6,100,2
182196,29,15.92,7.36,1.39,7.17,461.7,117,0
182197,25,13.13,6.19,1.47,5.47,328.3,59,2
182198,26,14.38,5.48,2.78,6.12,373.9,76,2
180184,9,5.62,2.41,1.61,1.6,50.6,24,1
180188,26,14.78,5.21,1.51,8.06,384.2,98,2
180189,27,11.67,4.99,0.33,6.35,315.1,107,2
180191,28,16.55,7.67,0.67,8.2,463.4,97,0
180192,28,8.22,3.38,1.81,3.03,230.3,138,2
182199,23,16.19,7.6,2.49,6.1,372.4,118,2
182200,28,13.83,6.08,1.73,6.02,387.2,107,2
182201,27,16.07,6.76,1.53,7.78,433.9,108,0
182202,29,13.57,5.17,2.47,5.92,393.5,113,2
182204,18,9.22,1.96,3.56,3.71,166.0,55,1
180193,27,14.14,5.29,1.99,6.86,381.8,128,2
181539,19,13.49,4.64,4.53,4.32,256.3,87,2
181540,19,5.31,1.53,1.15,2.62,100.8,45,1
181541,23,25.2,11.22,3.8,10.17,579.5,96,0
181542,26,13.34,5.52,1.02,6.8,346.9,98,2
181543,20,16.52,7.75,3.13,5.64,330.4,72,2
181545,22,18.03,8.25,3.65,6.13,396.6,100,2
181546,19,33.43,4.24,4.14,25.05,635.2,63,0
183969,16,14.68,8.78,0.23,5.67,234.8,38,2
183973,24,9.03,2.15,2.38,4.5,216.6,116,2
183975,10,16.9,4.31,1.94,10.65,169.0,25,1
181277,20,28.99,23.6,0.34,5.05,579.8,51,0
181278,19,12.81,4.54,2.65,5.63,243.4,69,2
181279,21,23.58,7.71,7.78,8.09,495.1,70,0
181280,29,12.71,4.69,1.31,6.71,368.7,85,2
181547,26,15.87,6.09,2.27,7.52,412.7,92,2
181548,29,12.85,3.71,2.03,7.11,372.7,127,2
183989,27,11.8,4.87,2.12,4.8,318.5,93,2
181281,27,18.85,10.44,2.19,6.21,508.9,98,0
181282,29,12.2,3.86,2.21,6.13,353.8,87,2
181283,28,11.65,6.18,0.99,4.48,326.3,71,2
181284,25,7.54,2.21,1.59,3.74,188.6,63,1
181285,24,11.81,2.47,1.38,7.97,283.5,86,2
181289,29,13.19,3.59,1.9,7.71,382.5,78,2
181292,19,8.58,2.28,2.94,3.35,163.0,74,1
180165,23,5.97,2.08,0.29,3.6,137.3,79,1
180166,22,17.98,7.52,1.23,9.23,395.6,72,2
183996,13,15.19,3.92,7.25,4.02,197.5,40,1
183997,22,16.7,7.33,2.59,6.78,367.4,101,2
184000,26,15.63,6.59,1.9,7.13,406.3,82,2
180167,26,10.07,4.17,1.42,4.48,261.8,159,2
180168,16,11.83,3.9,1.03,6.9,189.3,35,1
180169,27,13.15,5.88,0.64,6.64,355.1,115,2
180170,23,14.42,7.89,2.76,3.77,331.7,112,2
184002,21,13.73,4.94,2.22,6.57,288.3,68,2
184006,10,9.96,2.54,3.85,3.57,99.6,39,1
184007,25,10.0,3.86,1.72,4.42,250.0,105,2
184008,22,16.45,9.22,1.16,6.07,362.0,77,2
184009,23,10.46,4.9,1.34,4.21,240.6,77,2
184012,21,14.57,5.44,2.79,6.34,305.9,117,2
180171,26,10.93,3.61,0.08,7.24,284.1,84,2
180172,19,12.94,3.42,2.41,7.11,245.8,60,2
180173,25,11.2,5.38,0.51,5.31,280.0,99,2
180175,24,15.89,6.7,2.99,6.19,381.3,116,2
180176,25,14.52,6.24,1.94,6.35,363.1,110,2
180177,27,14.86,6.23,2.36,6.27,401.3,124,2
180178,16,10.51,1.96,2.88,5.67,168.2,71,1
180179,19,7.09,2.21,1.39,3.49,134.7,43,1
180180,9,5.51,1.32,0.86,3.33,49.6,14,1
181293,26,10.25,5.17,0.98,4.1,266.5,128,2
181296,7,14.09,7.36,0.07,6.66,98.6,16,1
181297,25,10.59,3.98,1.98,4.64,264.8,85,2
181298,23,10.9,4.1,2.02,4.78,250.8,95,2
180650,25,16.08,7.72,2.33,6.03,402.1,177,2
180651,28,13.13,5.43,2.03,5.67,367.5,154,2
180652,23,9.21,4.6,1.36,3.25,211.9,83,1
180655,26,19.94,7.48,2.11,10.34,518.4,72,0
181299,25,12.8,4.6,1.93,6.28,320.0,81,2
181301,29,8.64,2.53,1.3,4.81,250.5,108,2
181302,26,25.89,1.88,2.49,21.52,673.2,80,0
181303,24,14.16,6.29,2.06,5.8,339.8,73,2
181305,24,17.5,6.31,2.55,8.65,420.0,97,0
181308,26,8.43,3.87,1.12,3.45,219.3,106,2
181524,22,13.99,4.82,2.3,6.86,307.7,66,2
181525,20,20.24,11.58,1.29,7.36,404.8,74,2
180658,16,12.97,4.53,3.06,5.39,207.6,45,1
180660,21,10.49,3.52,1.11,5.86,220.3,52,1
180662,25,16.83,7.44,2.88,6.51,420.7,134,0
181527,22,17.4,8.07,0.74,8.59,382.7,55,2
181528,25,10.56,4.03,0.98,5.56,264.1,69,2
181529,28,15.82,9.72,0.4,5.7,442.9,116,0
181530,14,21.34,10.37,1.41,9.56,298.7,68,2
181531,23,25.02,10.15,4.35,10.52,575.5,110,0
181532,27,24.91,11.27,1.96,11.67,672.5,111,0
181533,10,15.0,5.2,0.45,9.35,150.0,23,1
181534,25,14.56,5.95,1.88,6.74,364.1,98,2
181535,17,18.32,7.74,2.54,8.04,311.4,73,2
181536,19,26.53,12.79,1.62,12.12,504.0,82,0
181309,26,12.13,5.67,2.05,4.4,315.4,77,2
181310,27,7.45,2.84,1.24,3.37,201.2,97,1
181311,25,11.04,4.7,1.06,5.29,276.1,94,2
181312,28,13.33,4.95,2.16,6.22,373.2,143,2
181313,21,11.32,3.64,1.34,6.33,237.7,46,2
181314,24,18.94,11.84,2.13,4.97,454.6,86,0
181315,17,52.57,2.29,0.76,49.51,893.7,50,0
182782,21,17.35,5.96,3.97,7.41,364.3,75,2
182783,21,17.61,8.1,1.82,7.69,369.9,72,2
182786,10,19.89,8.12,3.06,8.71,198.9,40,1
182788,24,20.7,7.65,2.36,10.69,496.7,86,0
182789,19,22.83,8.87,4.22,9.74,433.7,58,0
182790,19,8.24,1.34,3.25,3.65,156.6,56,1
182792,15,13.4,7.5,1.4,4.5,201.0,34,1
182793,23,16.89,6.63,3.8,6.46,388.46,85,2
182796,15,19.76,10.0,2.76,7.0,296.4,53,2
181537,17,13.99,6.54,1.68,5.77,237.8,42,2
181538,22,25.47,9.7,3.67,12.1,560.3,108,0
181188,20,12.84,5.66,1.87,5.32,256.8,117,2
181189,24,9.38,2.95,2.36,4.07,225.0,85,2
181191,26,20.47,11.81,2.43,6.23,532.3,120,0
181192,25,16.31,6.51,3.18,6.62,407.7,133,2
181179,22,18.9,8.97,3.59,6.34,415.7,92,2
181181,20,25.38,22.03,1.31,2.03,507.6,46,0
181182,28,19.32,6.83,2.23,10.26,541.0,133,0
181193,22,4.83,0.02,1.4,3.41,106.2,55,1
181194,23,18.74,8.9,1.83,8.01,431.0,86,0
182619,17,17.88,5.45,2.54,9.89,303.9,51,2
182620,23,17.98,6.71,2.94,8.33,413.6,80,2
182622,29,14.24,5.01,2.94,6.29,413.0,150,0
181183,20,9.95,3.45,2.16,4.34,198.9,47,1
181184,23,11.83,7.47,1.16,3.2,272.1,51,2
181185,20,9.35,3.5,2.14,3.72,186.9,66,1
181186,24,8.31,2.2,2.25,3.87,199.4,80,1
180546,13,24.02,6.07,11.78,6.17,312.2,77,2
180547,26,11.65,5.05,1.53,5.07,302.9,77,2
180548,25,8.75,4.74,0.81,3.19,218.7,89,2
182623,25,15.14,7.05,1.76,6.32,378.4,102,2
182624,21,12.31,3.63,1.62,7.06,258.5,78,2
180549,16,8.82,3.0,1.6,4.22,141.2,61,1
180551,26,11.07,5.0,1.78,4.29,287.8,133,2
180552,18,8.27,3.17,1.17,3.94,148.9,56,1
180554,26,12.43,4.79,2.08,5.56,323.09,87,2
180555,25,7.78,2.99,0.48,4.31,194.5,84,1
180556,25,6.4,2.47,1.72,2.21,160.0,57,1
180557,17,15.56,3.39,1.05,11.13,264.6,75,2
180558,24,7.24,2.76,0.52,3.96,173.8,80,1
180559,15,16.45,6.63,1.93,7.9,246.8,36,2
180560,24,10.24,4.33,1.22,4.7,245.8,105,2
180561,17,15.37,7.29,2.57,5.51,261.3,87,2
180563,20,18.96,6.92,4.43,7.61,379.3,87,2
180564,9,11.28,3.49,2.8,4.99,101.5,41,1
180566,20,11.86,5.03,1.48,5.36,237.2,47,2
180567,22,13.6,6.06,2.23,5.31,299.3,77,2
180569,22,14.13,6.89,2.41,4.83,310.9,73,2
182205,25,11.12,6.24,1.12,3.76,278.0,108,2
182206,25,15.32,8.15,1.99,5.18,382.9,101,2
182207,24,11.96,3.02,1.46,7.48,287.1,74,2
182378,25,9.68,4.04,1.2,4.44,242.1,127,2
182379,29,14.47,6.23,2.08,6.16,419.7,142,0
182380,24,14.56,5.38,2.13,7.05,349.5,137,2
182382,20,9.43,3.05,2.18,4.2,188.7,73,1
182383,23,12.11,4.1,3.24,4.77,278.5,56,2
182384,18,10.54,3.63,0.67,6.24,189.7,57,1
182385,18,21.87,7.89,1.69,12.28,393.6,64,2
183935,15,13.83,6.14,0.91,6.79,207.5,35,1
183942,17,22.41,8.11,3.07,11.23,381.0,60,2
182959,19,22.89,8.87,4.05,9.97,435.0,79,0
182961,19,15.23,5.71,2.52,7.0,289.3,62,2
182962,21,16.13,7.43,1.15,7.56,338.8,56,2
183539,18,13.29,5.26,3.25,4.78,239.2,51,2
183541,18,14.44,2.56,3.14,8.74,259.9,47,2
183543,15,14.37,4.98,1.92,7.47,215.6,51,1
183544,23,14.81,6.32,0.11,8.38,340.7,63,2
183545,14,13.46,4.42,2.76,6.29,188.5,37,1
183546,21,17.06,7.3,2.1,7.67,358.3,91,2
183956,16,13.03,4.22,1.56,7.26,208.5,60,1
183547,14,12.3,2.96,2.48,6.86,172.2,40,1
183548,12,10.75,1.0,1.83,7.92,129.0,23,1
183549,16,12.12,2.31,1.87,7.94,193.9,49,1
182208,27,9.71,2.87,1.7,5.14,262.3,96,2
182209,24,21.13,9.15,3.45,8.53,507.15,99,0
182210,28,16.53,6.14,2.13,8.27,462.9,132,0
182212,18,14.06,4.46,2.73,6.87,253.1,52,2
182213,26,11.7,4.71,1.62,5.37,304.3,153,2
182811,25,9.02,2.68,2.8,3.54,225.6,71,2
182813,25,5.26,1.37,1.4,2.49,131.4,79,1
182816,24,12.98,6.97,1.1,4.91,311.5,118,2
182817,22,11.65,2.39,1.52,7.75,256.4,73,2
182818,24,17.95,8.22,3.43,6.31,430.9,86,0
182819,25,9.18,3.78,1.1,4.3,229.6,96,2
182820,9,3.78,1.24,0.0,2.53,34.0,23,1
180624,27,9.98,3.45,2.15,4.38,269.5,117,2
180625,25,6.97,2.23,2.12,2.63,174.3,74,1
180631,25,13.94,6.78,1.45,5.71,348.6,132,2
182821,27,8.23,2.49,1.31,4.43,222.3,95,2
182824,24,15.36,6.09,0.67,8.61,368.69,57,2
182826,24,7.83,1.92,0.51,5.4,187.9,51,1
182829,22,14.39,8.35,0.78,5.26,316.5,55,2
182830,17,13.47,2.79,1.68,9.0,229.0,33,1
182831,22,19.29,4.43,2.42,12.43,424.3,52,2
182832,22,12.98,8.34,0.5,4.14,285.5,36,2
182833,25,19.86,10.72,3.01,6.12,496.5,100,0
180634,25,22.15,9.52,3.65,8.98,553.7,106,0
180637,18,9.63,2.39,2.29,4.94,173.4,75,1
180638,20,14.68,4.86,2.53,7.29,293.7,57,2
182834,26,14.59,6.4,1.52,6.67,379.3,84,2
182837,26,21.04,10.12,0.19,10.73,547.0,75,0
182839,26,19.51,8.33,3.09,8.1,507.3,183,0
182842,15,12.86,7.8,0.4,4.66,192.9,31,1
180872,27,12.21,6.11,1.35,4.74,329.7,135,2
180915,19,13.04,4.0,1.32,7.72,247.7,45,2
180916,18,19.61,9.42,1.59,8.59,353.0,102,2
180917,10,15.75,4.72,2.17,8.86,157.5,75,1
180918,1,100.0,0.0,100.0,0.0,100.0,1,1
180920,27,28.55,16.83,3.51,8.21,770.9,180,0
180639,9,18.59,8.16,2.99,7.44,167.3,35,1
180640,24,13.07,6.88,1.5,4.7,313.6,103,2
180641,27,10.78,3.95,1.97,4.86,291.1,126,2
180642,21,10.42,3.74,1.71,4.97,218.8,90,2
180644,27,10.96,5.34,1.04,4.57,295.9,149,2
180645,13,11.37,0.0,2.75,8.62,147.8,20,1
182192,18,14.92,5.16,1.94,7.82,268.5,60,2
183550,19,15.94,4.84,3.19,7.9,302.8,57,2
183555,17,14.9,6.96,2.8,5.14,253.3,72,2
183556,18,11.32,3.65,2.57,5.1,203.8,58,1
183558,14,12.85,3.96,2.81,6.07,179.9,43,1
183565,5,13.8,8.6,0.8,4.4,69.0,10,1
183569,22,18.28,6.71,3.27,8.29,402.1,97,2
182934,5,18.5,3.8,2.7,12.0,92.5,14,1
182947,12,17.47,11.64,3.42,2.41,209.6,54,1
181353,21,15.17,4.74,1.6,8.82,318.5,64,2
181354,26,18.5,8.71,1.17,8.63,481.1,117,0
183520,21,12.43,0.48,6.42,5.53,261.0,96,2
183523,7,9.27,3.56,1.29,4.43,64.9,18,1
183524,24,16.6,8.67,1.96,5.97,398.3,132,2
181355,26,16.49,7.81,1.43,7.25,428.8,130,0
181356,26,18.17,7.17,2.61,8.39,472.3,167,0
181359,20,20.74,8.95,3.76,8.03,414.8,77,2
181017,20,10.89,4.79,2.42,3.7,217.9,88,2
183525,23,16.25,7.16,1.63,7.46,373.8,80,2
183532,24,19.42,7.13,4.56,7.73,466.0,89,0
183534,25,8.56,2.58,2.5,3.48,214.1,64,1
183536,10,24.83,5.7,3.4,15.73,248.3,62,2
181018,26,15.58,6.02,2.68,6.87,405.1,120,2
181019,26,20.14,10.17,2.65,7.33,523.7,110,0
181020,22,8.27,1.98,2.32,3.98,182.0,44,1
181021,24,11.7,4.66,1.42,5.63,280.8,60,2
181022,26,13.93,6.73,1.51,5.69,362.3,117,2
181024,20,7.83,1.88,1.97,3.98,156.5,45,1
181025,28,6.46,1.9,1.15,3.42,181.0,101,1
181026,28,18.72,7.14,1.95,9.64,524.1,129,0
181028,15,10.65,5.96,2.06,2.63,159.7,59,1
181029,24,10.76,3.63,1.7,5.43,258.35,103,2
181030,26,12.4,6.2,1.69,4.51,322.5,123,2
181031,24,14.26,4.38,1.09,8.79,342.2,63,2
181032,26,9.07,4.72,0.6,3.76,235.9,109,2
181034,26,20.03,8.54,2.09,9.41,520.9,102,0
181362,20,19.36,10.53,1.56,7.27,387.1,71,2
181364,24,13.99,5.59,1.07,7.34,335.8,59,2
181365,18,19.24,10.7,2.33,6.22,346.4,71,2
181366,27,19.87,10.38,1.23,8.26,536.4,98,0
181374,24,31.68,17.85,1.87,11.96,760.2,108,0
181378,23,12.25,5.19,2.2,4.87,281.8,57,2
181379,27,11.63,5.08,0.84,5.71,313.9,126,2
181380,17,20.21,6.32,3.42,10.47,343.6,72,2
181381,22,14.55,7.34,1.95,5.27,320.2,93,2
181383,28,13.98,6.24,1.18,6.56,391.5,130,2
181368,25,15.87,7.92,1.04,6.91,396.8,71,2
181371,20,12.47,6.38,1.2,4.9,249.5,48,2
181372,20,18.82,8.55,2.07,8.2,376.3,62,2
181373,20,6.07,1.61,1.74,2.72,121.4,37,1
181384,27,19.26,10.6,1.31,7.36,520.1,161,0
182571,15,9.78,5.43,1.4,2.95,146.7,26,1
182573,24,14.91,4.61,1.02,9.28,357.9,68,2
182576,20,8.08,1.32,1.07,5.68,161.6,31,1
182577,28,11.33,3.38,2.41,5.54,317.2,89,2
182578,28,19.35,8.69,1.59,9.07,541.7,101,0
182579,26,16.85,7.27,1.7,7.89,438.1,93,0
180927,6,12.68,6.35,0.0,6.33,76.1,13,1
182580,22,13.81,5.13,4.0,4.69,303.9,115,2
182581,27,13.51,5.4,1.0,7.1,364.7,93,2
181035,24,12.97,5.63,2.78,4.56,311.2,125,2
181036,23,13.29,4.41,1.94,6.93,305.7,67,2
181041,22,6.95,3.46,1.4,2.09,153.0,99,1
181042,26,20.41,4.8,1.73,13.88,530.7,132,0
181045,21,23.25,14.96,2.1,6.2,488.2,76,0
181046,22,11.41,5.53,1.58,4.3,251.0,91,2
181559,22,13.06,5.37,1.59,6.1,287.4,113,2
181560,28,17.21,7.61,3.41,6.19,481.9,153,0
182583,25,20.21,9.66,2.7,7.85,505.3,99,0
182584,24,19.02,9.42,2.46,7.13,456.5,124,0
182586,22,14.14,7.75,1.33,5.05,311.0,75,2
182587,24,11.77,4.05,2.0,5.73,282.5,77,2
182588,12,17.3,5.74,2.5,9.06,207.6,57,1
180594,16,8.07,3.56,2.58,1.94,129.2,47,1
181561,29,16.46,7.66,1.7,7.1,477.4,129,0
181562,29,17.31,7.47,1.54,8.3,502.1,115,0
181564,26,14.63,5.86,1.51,7.26,380.3,143,2
182589,14,7.48,2.89,1.29,3.3,104.7,25,1
182590,22,13.98,6.2,1.65,6.14,307.6,107,2
183928,5,9.06,2.06,1.02,5.98,45.3,12,1
182387,28,10.99,2.38,3.47,5.14,307.7,105,2
182390,23,14.77,6.0,1.98,6.8,339.8,105,2
181565,20,15.18,5.91,4.29,4.99,303.6,81,2
180946,10,15.02,5.85,3.4,5.77,150.2,36,1
182391,22,8.88,1.68,1.82,5.38,195.4,88,1
182392,29,14.54,5.5,3.07,5.98,421.6,168,0
182393,26,15.53,4.21,2.92,8.4,403.7,113,2
182394,25,19.8,6.92,2.61,10.28,495.0,87,0
181010,1,2.15,0.0,0.0,2.15,2.15,0,1
182396,24,12.83,4.91,1.6,6.31,307.8,107,2
182398,20,15.12,7.74,2.7,4.67,302.3,71,2
182399,23,12.81,4.6,1.93,6.28,294.7,82,2
182400,11,9.08,1.68,1.55,5.85,99.9,27,1
182402,21,12.31,4.92,1.83,5.56,258.5,108,2
180194,12,6.18,4.48,0.71,0.99,74.2,14,1
180196,27,14.34,7.0,2.72,4.62,387.2,95,2
180197,19,11.58,7.08,0.0,4.5,220.0,76,1
180198,24,14.15,6.88,1.71,5.56,339.7,112,2
180200,10,9.65,5.15,2.21,2.29,96.5,21,1
180201,15,12.56,4.24,0.93,7.39,188.4,37,1
180202,19,13.41,5.34,0.48,7.58,254.7,71,2
183960,11,15.79,7.68,2.34,5.77,173.7,36,1
183961,7,6.99,4.99,1.29,0.71,48.9,9,1
183965,13,15.32,5.66,0.82,8.85,199.2,41,1
180203,27,12.12,5.01,0.96,6.15,327.3,107,2
180204,11,18.62,7.23,1.59,9.8,204.8,47,1
180206,18,11.21,4.29,0.0,6.91,201.7,35,1
180207,18,8.24,1.88,0.23,6.13,148.4,40,1
180208,22,10.55,4.44,2.25,3.85,232.0,81,2
180209,7,16.1,5.79,0.37,9.94,112.7,18,1
180210,22,17.12,6.53,2.95,7.64,376.6,70,2
181901,16,13.46,4.61,2.28,6.57,215.4,70,1
181903,21,18.22,4.26,3.5,10.46,382.7,72,2
181905,29,21.1,8.99,4.5,7.61,612.0,172,0
181906,25,16.3,5.69,3.44,7.18,407.56,147,2
183971,21,8.15,3.36,1.58,3.21,171.1,76,1
180213,27,9.44,3.87,1.06,4.51,255.0,81,2
180218,29,16.03,6.51,1.24,8.28,465.0,110,0
181907,27,14.53,7.19,3.65,3.7,392.4,112,2
182356,21,13.88,6.0,0.92,6.96,291.4,117,2
182403,26,11.05,4.46,3.8,2.8,287.4,111,2
182404,27,13.74,6.21,1.31,6.22,371.0,83,2
182408,24,15.31,4.94,2.6,7.77,367.4,113,2
182411,21,16.3,4.05,4.87,7.38,342.2,84,2
181549,25,13.61,5.74,1.52,6.34,340.2,102,2
181550,29,17.68,8.6,1.22,7.86,512.6,108,0
181551,24,19.52,4.06,2.94,12.52,468.4,72,0
181552,25,16.9,8.4,1.48,7.02,422.4,126,0
182357,13,11.67,1.38,3.99,6.29,151.7,54,1
182358,21,12.35,4.7,0.0,7.66,259.4,50,2
182412,27,16.08,5.63,3.7,6.75,434.1,95,0
182413,23,9.56,2.05,2.56,4.94,219.8,70,1
181554,28,11.69,5.77,1.07,4.85,327.4,156,2
181555,23,10.81,4.62,1.24,4.95,248.6,76,2
181556,26,15.86,6.32,2.15,7.39,412.3,168,0
181557,28,15.15,5.23,1.24,8.69,424.2,92,0
181558,29,20.22,11.14,1.14,7.93,586.3,104,0
181908,25,14.08,3.44,2.94,7.7,352.1,79,2
181909,18,10.59,6.13,1.79,2.67,190.6,48,1
181910,11,9.66,4.68,2.62,2.36,106.3,26,1
181912,27,10.7,2.99,2.11,5.6,288.8,125,2
181913,26,19.32,10.68,1.84,6.8,502.4,100,0
181914,19,10.38,3.08,1.63,5.66,197.2,44,1
181915,26,15.53,7.77,2.39,5.37,403.7,73,2
181916,20,9.35,2.45,2.42,4.49,187.0,47,1
181918,19,9.94,2.62,3.19,4.13,188.8,66,1
180221,18,13.81,3.56,1.88,8.38,248.6,58,2
180222,20,16.68,9.47,1.85,5.35,333.5,59,2
180224,17,12.78,5.45,0.44,6.89,217.3,45,1
180225,23,11.33,3.61,2.85,4.88,260.66,107,2
180227,15,9.21,2.0,3.03,4.19,138.2,44,1
182978,24,18.0,7.0,2.92,8.09,432.1,133,0
182980,21,17.51,8.34,1.62,7.55,367.7,73,2
182983,18,17.23,6.63,1.39,9.2,310.1,98,2
182984,19,15.85,10.06,0.87,4.93,301.2,62,2
182985,12,10.65,1.2,0.56,8.89,127.8,19,1
180228,11,17.97,5.15,1.24,11.59,197.7,26,1
180231,18,32.34,25.87,0.39,6.09,582.2,41,0
180232,11,16.51,8.61,3.41,4.49,181.6,35,1
180233,5,12.4,4.8,1.2,6.4,62.0,10,1
180234,19,14.69,7.95,0.24,6.51,279.1,40,2
180235,9,4.67,1.11,1.78,1.78,42.0,11,1
180236,26,15.56,5.6,2.76,7.2,404.5,85,2
182986,20,15.53,6.08,0.68,8.77,310.6,92,2
182987,18,15.62,5.49,0.84,9.29,281.2,92,2
181333,17,21.18,11.32,4.21,5.65,360.1,63,2
183452,21,16.25,6.4,2.44,7.4,341.2,85,2
183454,18,13.09,1.99,5.3,5.8,235.7,70,2
183455,21,13.98,5.52,2.16,6.29,293.5,59,2
183466,12,21.63,4.79,1.94,14.89,259.5,60,2
182591,23,17.59,6.4,1.3,9.89,404.5,74,2
182592,26,16.27,6.54,2.38,7.35,422.9,102,0
182593,23,14.73,5.7,1.38,7.64,338.7,72,2
182594,18,17.04,6.47,2.29,8.28,306.8,72,2
182595,23,13.49,5.16,1.72,6.61,310.3,77,2
182596,29,17.78,8.41,0.63,8.73,515.5,88,0
184001,18,18.32,8.07,4.68,5.58,329.8,78,2
180766,25,18.62,7.39,2.82,8.42,465.6,123,0
180767,23,11.2,4.07,3.2,3.93,257.7,113,2
180768,21,10.45,2.86,1.65,5.95,219.5,67,1
180769,19,6.11,3.59,1.6,0.92,116.1,46,1
180770,14,16.26,9.94,1.72,4.6,227.7,49,1
180771,26,14.78,7.5,1.62,5.65,384.3,105,2
180772,23,9.91,3.99,1.16,4.76,227.9,86,2
180773,27,11.53,5.26,1.86,4.41,311.3,83,2
180774,20,11.38,4.39,2.22,4.78,227.5,77,2
180775,12,16.5,9.5,2.13,4.88,198.0,31,1
180777,23,13.85,4.3,2.25,7.3,318.6,73,2
180778,26,15.33,7.4,1.12,6.81,398.7,154,2
181919,28,14.14,5.91,1.61,6.62,395.8,93,2
181764,14,9.06,3.31,2.35,3.41,126.9,41,1
181765,19,16.37,8.19,2.44,5.74,311.1,128,2
181766,17,17.91,8.89,1.37,7.65,304.5,53,2
181768,25,15.74,6.28,1.48,7.98,393.5,80,2
181770,18,6.17,2.75,2.22,1.19,111.0,29,1
181771,9,19.58,10.06,2.7,6.82,176.2,46,1
181921,25,18.08,7.41,2.8,7.87,452.0,113,0
181923,21,12.63,3.57,2.87,6.19,265.3,84,2
181925,27,14.17,3.9,2.84,7.42,382.6,144,2
181926,27,10.0,2.79,2.36,4.85,270.0,108,2
181772,17,11.49,5.18,1.65,4.66,195.3,41,1
181773,21,14.18,6.68,2.65,4.86,297.8,74,2
181927,26,13.67,4.7,1.88,7.09,355.4,138,2
181774,16,7.54,2.31,1.38,3.84,120.6,28,1
181776,25,14.34,7.27,1.11,5.96,358.6,113,2
181777,28,15.86,5.71,2.47,7.68,444.2,105,0
181778,25,19.62,10.89,1.38,7.36,490.5,132,0
181781,21,13.81,5.0,2.1,6.7,289.91,101,2
182963,22,18.46,11.05,1.98,5.44,406.2,123,2
182965,23,18.18,9.35,1.28,7.55,418.2,78,2
182968,23,8.32,0.97,2.01,5.33,191.3,110,1
182971,24,8.39,3.77,1.35,3.28,201.4,77,1
181196,26,12.75,5.23,2.45,5.08,331.6,101,2
181197,19,12.01,4.71,1.0,6.29,228.1,54,2
182972,22,13.06,3.43,1.99,7.65,287.4,58,2
182973,8,10.44,4.75,0.0,5.69,83.5,14,1
182975,18,16.09,7.24,2.63,6.22,289.7,84,2
182976,23,29.09,16.35,2.58,10.16,669.0,153,0
181198,27,9.25,3.35,1.85,4.05,249.7,126,2
181199,22,12.58,4.19,0.65,7.74,276.8,83,2
181201,26,16.0,9.39,0.77,5.83,415.9,85,2
181202,25,12.92,5.86,2.42,4.64,323.0,111,2
181203,27,16.23,9.64,1.01,5.58,438.19,85,0
181204,23,6.44,1.89,1.88,2.67,148.1,77,1
181215,23,19.57,10.89,3.13,5.55,450.0,85,0
181222,14,12.79,5.79,2.66,4.34,179.1,66,1
181225,23,11.24,4.91,1.75,4.59,258.6,52,2
181228,24,20.02,8.54,2.85,8.63,480.5,108,0
181231,26,19.61,9.39,5.87,4.34,509.8,125,0
181233,21,5.69,1.38,1.89,2.42,119.5,39,1
181234,18,13.64,4.19,3.22,6.23,245.59,69,2
181235,29,16.07,6.29,3.04,6.74,466.1,99,0
181237,26,11.45,3.55,1.7,6.2,297.6,110,2
181240,18,20.52,3.32,14.2,3.0,369.3,43,2
181243,29,26.02,9.44,2.99,13.59,754.66,213,0
181244,29,20.43,10.14,2.83,7.47,592.59,184,0
180936,9,12.71,5.0,0.0,7.71,114.4,21,1
182626,22,7.58,1.8,1.78,4.0,166.7,70,1
182628,18,10.4,3.27,0.0,7.13,187.2,55,1
182629,22,12.67,6.68,0.16,5.82,278.7,51,2
182630,21,10.29,3.98,0.12,6.18,216.0,49,1
182631,20,16.27,7.53,2.88,5.87,325.4,54,2
182632,26,15.48,4.0,2.7,8.78,402.5,89,2
182635,15,18.24,7.34,1.77,9.13,273.6,74,2
182637,18,9.6,4.78,0.62,4.21,172.8,54,1
182640,19,10.8,4.78,1.41,4.62,205.2,45,1
182642,19,17.56,6.28,3.17,8.11,333.7,66,2
182643,18,20.48,2.36,9.92,8.2,368.6,83,2
182644,14,6.91,1.51,1.96,3.44,96.8,38,1
182646,13,15.48,7.15,2.33,6.0,201.3,47,1
